pay_period_start,employee_id,employee_name,location,role,employment_type,hourly_rate,hours_biweekly,gross_pay,cpp_withheld,ei_withheld,income_tax_withheld,employee_benefits,net_pay,dataset
2019-11-11,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,80.27,2206.62,114.74,35.31,264.79,44.13,1747.65,bookstore_payroll
2019-11-25,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,76.56,2104.63,109.44,33.67,252.56,42.09,1666.87,bookstore_payroll
2019-12-09,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,78.97,2170.89,112.89,34.73,260.51,43.42,1719.34,bookstore_payroll
2019-12-23,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.7,1998.52,103.92,31.98,239.82,39.97,1582.83,bookstore_payroll
2020-01-06,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,50.45,1386.87,72.12,22.19,166.42,27.74,1098.4,bookstore_payroll
2020-01-20,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,65.79,1808.57,94.05,28.94,217.03,36.17,1432.38,bookstore_payroll
2020-02-03,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,59.99,1649.13,85.75,26.39,197.9,32.98,1306.11,bookstore_payroll
2020-02-17,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,54.07,1486.38,77.29,23.78,178.37,29.73,1177.21,bookstore_payroll
2020-03-02,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,47.08,1294.23,67.3,20.71,155.31,25.88,1025.03,bookstore_payroll
2020-03-16,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,64.34,1768.71,91.97,28.3,212.25,35.37,1400.82,bookstore_payroll
2020-03-30,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,64.59,1775.58,92.33,28.41,213.07,35.51,1406.26,bookstore_payroll
2020-04-13,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,55.7,1531.19,79.62,24.5,183.74,30.62,1212.71,bookstore_payroll
2020-04-27,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,53.04,1458.07,75.82,23.33,174.97,29.16,1154.79,bookstore_payroll
2020-05-11,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,55.44,1524.05,79.25,24.38,182.89,30.48,1207.05,bookstore_payroll
2020-05-25,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,55.74,1532.29,79.68,24.52,183.87,30.65,1213.57,bookstore_payroll
2020-06-08,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,61.62,1693.93,88.08,27.1,203.27,33.88,1341.6,bookstore_payroll
2020-06-22,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,50.17,1379.17,71.72,22.07,165.5,27.58,1092.3,bookstore_payroll
2020-07-06,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,53.5,1470.71,76.48,23.53,176.49,29.41,1164.8,bookstore_payroll
2020-07-20,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,55.9,1536.69,79.91,24.59,184.4,30.73,1217.06,bookstore_payroll
2020-08-03,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,58.55,1609.54,83.7,25.75,193.14,32.19,1274.76,bookstore_payroll
2020-08-17,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,62.2,1709.88,88.91,27.36,205.19,34.2,1354.22,bookstore_payroll
2020-08-31,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,58.87,1618.34,84.15,25.89,194.2,32.37,1281.73,bookstore_payroll
2020-09-14,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,67.51,1855.85,96.5,29.69,222.7,37.12,1469.84,bookstore_payroll
2020-09-28,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,51.05,1403.36,72.97,22.45,168.4,28.07,1111.47,bookstore_payroll
2020-10-12,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,65.77,1808.02,94.02,28.93,216.96,36.16,1431.95,bookstore_payroll
2020-10-26,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,51.28,1409.69,73.3,22.56,169.16,28.19,1116.48,bookstore_payroll
2020-11-09,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,54.63,1501.78,78.09,24.03,180.21,30.04,1189.41,bookstore_payroll
2020-11-23,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,59.32,1630.71,84.8,26.09,195.69,32.61,1291.52,bookstore_payroll
2020-12-07,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,64.07,1761.28,91.59,28.18,211.35,35.23,1394.93,bookstore_payroll
2020-12-21,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,54.64,1502.05,78.11,24.03,180.25,30.04,1189.62,bookstore_payroll
2021-01-04,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,66.96,1840.73,95.72,29.45,220.89,36.81,1457.86,bookstore_payroll
2021-01-18,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,62.71,1723.9,89.64,27.58,206.87,34.48,1365.33,bookstore_payroll
2021-02-01,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,50.83,1397.32,72.66,22.36,167.68,27.95,1106.67,bookstore_payroll
2021-02-15,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,64.37,1769.53,92.02,28.31,212.34,35.39,1401.47,bookstore_payroll
2021-03-01,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,57.15,1571.05,81.69,25.14,188.53,31.42,1244.27,bookstore_payroll
2021-03-15,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.23,1985.6,103.25,31.77,238.27,39.71,1572.6,bookstore_payroll
2021-03-29,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.27,1986.7,103.31,31.79,238.4,39.73,1573.47,bookstore_payroll
2021-04-12,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,59.58,1637.85,85.17,26.21,196.54,32.76,1297.17,bookstore_payroll
2021-04-26,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,58.66,1612.56,83.85,25.8,193.51,32.25,1277.15,bookstore_payroll
2021-05-10,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,60.83,1672.22,86.96,26.76,200.67,33.44,1324.39,bookstore_payroll
2021-05-24,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,67.79,1863.55,96.9,29.82,223.63,37.27,1475.93,bookstore_payroll
2021-06-07,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,67.82,1864.37,96.95,29.83,223.72,37.29,1476.58,bookstore_payroll
2021-06-21,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,85.05,2338.02,121.58,37.41,280.56,46.76,1851.71,bookstore_payroll
2021-07-05,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,62.75,1725.0,89.7,27.6,207.0,34.5,1366.2,bookstore_payroll
2021-07-19,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,65.15,1790.97,93.13,28.66,214.92,35.82,1418.44,bookstore_payroll
2021-08-02,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,76.19,2094.46,108.91,33.51,251.34,41.89,1658.81,bookstore_payroll
2021-08-16,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,66.32,1823.14,94.8,29.17,218.78,36.46,1443.93,bookstore_payroll
2021-08-30,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,58.07,1596.34,83.01,25.54,191.56,31.93,1264.3,bookstore_payroll
2021-09-13,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,66.65,1832.21,95.27,29.32,219.87,36.64,1451.11,bookstore_payroll
2021-09-27,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,68.83,1892.14,98.39,30.27,227.06,37.84,1498.58,bookstore_payroll
2021-10-11,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,62.55,1719.5,89.41,27.51,206.34,34.39,1361.85,bookstore_payroll
2021-10-25,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,69.37,1906.98,99.16,30.51,228.84,38.14,1510.33,bookstore_payroll
2021-11-08,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,68.84,1892.41,98.41,30.28,227.09,37.85,1498.78,bookstore_payroll
2021-11-22,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,61.85,1700.26,88.41,27.2,204.03,34.01,1346.61,bookstore_payroll
2021-12-06,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,73.91,2031.79,105.65,32.51,243.81,40.64,1609.18,bookstore_payroll
2021-12-20,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,59.9,1646.65,85.63,26.35,197.6,32.93,1304.14,bookstore_payroll
2022-01-03,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,74.82,2056.8,106.95,32.91,246.82,41.14,1628.98,bookstore_payroll
2022-01-17,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,68.59,1885.54,98.05,30.17,226.26,37.71,1493.35,bookstore_payroll
2022-01-31,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,62.04,1705.48,88.68,27.29,204.66,34.11,1350.74,bookstore_payroll
2022-02-14,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,74.35,2043.88,106.28,32.7,245.27,40.88,1618.75,bookstore_payroll
2022-02-28,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,83.78,2303.11,119.76,36.85,276.37,46.06,1824.07,bookstore_payroll
2022-03-14,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,71.88,1975.98,102.75,31.62,237.12,39.52,1564.97,bookstore_payroll
2022-03-28,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,63.24,1738.47,90.4,27.82,208.62,34.77,1376.86,bookstore_payroll
2022-04-11,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,73.53,2021.34,105.11,32.34,242.56,40.43,1600.9,bookstore_payroll
2022-04-25,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,67.29,1849.8,96.19,29.6,221.98,37.0,1465.03,bookstore_payroll
2022-05-09,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,78.52,2158.51,112.24,34.54,259.02,43.17,1709.54,bookstore_payroll
2022-05-23,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,70.83,1947.12,101.25,31.15,233.65,38.94,1542.13,bookstore_payroll
2022-06-06,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,61.56,1692.28,88.0,27.08,203.07,33.85,1340.28,bookstore_payroll
2022-06-20,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,75.25,2068.62,107.57,33.1,248.23,41.37,1638.35,bookstore_payroll
2022-07-04,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,73.45,2019.14,105.0,32.31,242.3,40.38,1599.15,bookstore_payroll
2022-07-18,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,70.4,1935.3,100.64,30.96,232.24,38.71,1532.75,bookstore_payroll
2022-08-01,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,65.97,1813.52,94.3,29.02,217.62,36.27,1436.31,bookstore_payroll
2022-08-15,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,82.93,2279.75,118.55,36.48,273.57,45.59,1805.56,bookstore_payroll
2022-08-29,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,69.49,1910.28,99.33,30.56,229.23,38.21,1512.95,bookstore_payroll
2022-09-12,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,77.58,2132.67,110.9,34.12,255.92,42.65,1689.08,bookstore_payroll
2022-09-26,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,69.42,1908.36,99.23,30.53,229.0,38.17,1511.43,bookstore_payroll
